# Popular dog names, ordered by descending order of popularity 1 to 50 
# 
# source: http://dogtime.com/top-100-dog-names
# Accessed: November 1 2015
# male,female
Bailey,Bella
Max,Lucy
Charlie,Molly
Buddy,Daisy
Rocky,Maggie
Jake,Sophie
Jack,Sadie
Toby,Chloe
Cody,Bailey
Buster,Lola
Duke,Zoe
Cooper,Abby
Riley,Ginger
Harley,Roxy
Bear,Gracie
Tucker,Coco
Murphy,Sasha
Lucky,Lily
Oliver,Angel
Sam,Princess
Oscar,Emma
Teddy,Annie
Winston,Rosie
Sammy,Ruby
Rusty,Lady
Shadow,Missy
Gizmo,Lilly
Bentley,Mia
Zeus,Katie
Jackson,Zoey
Baxter,Madison
Bandit,Stella
Gus,Penny
Samson,Belle
Milo,Casey
Rudy,Samantha
Louie,Holly
Hunter,Lexi
Casey,Lulu
Rocco,Brandy
Sparky,Jasmine
Joey,Shelby
Bruno,Sandy
Beau,Roxie
Dakota,Pepper
Maximus,Heidi
Romeo,Luna
Boomer,Dixie
Luke,Honey
Henry,Dakota
